name,number,num
AGT INTERNATIONAL LIMITED,4827160,5782662
AFO MARKETING LTD,4830917,9961601
ACCESSORIES WAREHOUSE LIMITED,4831491,7763133
ASIA COMPONENT SUPPLIES LIMITED,4852428,7707074
ARMAFLEX LIMITED,4853648,1657977
AERIAL RESEARCH LIMITED,4858239,6111673
A1 PLASTIC EXTRUSIONS LIMITED,4859429,4062165
ALSAGER PRECISION LIMITED,4871066,7838874
APPINERE LIMITED,4877855,8223658
ABLE2 UK LIMITED,4882353,7503514
ANN MULQUEENEY LIMITED,4902646,5762934
ADVANTAGE SIX LIMITED,4912035,5021489
ARTYCLOWN LTD,4927367,7980071
AUTOSTEER DIRECT LIMITED,4927417,2043424
ALCO MANUFACTURING LIMITED,4938901,10977604
ADM (SOLUTIONS) LIMITED,4940346,3166948
ALAN GILYEAT LIMITED,4940696,10512573
APPLIED PERSONNEL SOLUTIONS LTD,4941482,9445441
AUSTHALL HOLDINGS LIMITED,4941806,10990984
ALSTON ENGINEERING LIMITED,4944280,2078275
ASHLEY KITCHEN & BATHROOM DESIGN CENTRE LIMITED,4945579,915239
AERO SOLUTIONS (UK) LTD,4946408,8250877
ALP EQUIPMENT LTD,4949522,6455481
ABIGCO LIMITED,4949795,8257933
ASCENDANT LIFTS LIMITED,4967758,4940346
ASSURED FINE FURNITURE LIMITED,4968074,5163966
ALL WEATHER PRODUCTS LIMITED,4977870,5150610
ARCHITECTURAL FIBREGLASS MOULDINGS LIMITED,4979363,1122942
APPLIANCE SPARES DIRECT LIMITED,4989635,11448602
A.M. SEAFOODS LIMITED,4997027,5045514
AMERICAN ESSENTIALS INTERNATIONAL LIMITED,5007937,11414342
ABBEY ELECTRONICS LIMITED,5015035,10980925
AIR SAMPLING INSTRUMENTS LIMITED,5015257,2179444
ADDITIONS MOBILE ACCESSORIES LIMITED,5021489,8026499
AD&LA HARRINGTON LIMITED,5036241,10894818
ARJOWIGGINS IVYBRIDGE LIMITED,5042484,9543782
ADMIRAL WINDOWS & GLASS LIMITED,5045514,11399347
ABC CASES LIMITED,5066995,11527911
ASTERISK DIRECT LIMITED,5068186,11340854
AIR SCIENCE TECHNOLOGIES LTD,5076916,2769258
AT ENGINE CONTROLS LIMITED,5087739,10892392
ABOVE LINE LIMITED,5101759,7827205
ARCHTUNE LTD,5110584,5753345
ANTHONY DE ROMA ICE CREAM LIMITED,5126797,9221999
AUTUMN (UK) 2017 LTD,5143259,8290346
AINSLEY SIGNS (CORPORATE) LIMITED,5148986,10953609
ADM PRINT LIMITED,5150610,2414960
AJ ENGINEERING SERVICES LIMITED,5157754,3917296
ADM LEISUREWEAR LIMITED,5163966,2771476
A & N KNITWEAR LIMITED,5178483,3687619
AJ ENGINEERING (NW) LTD,5228186,11384083
AMAC CONCRETE LIMITED,5232991,7551180
